Date,GSCP
02/12/2013,1848.36
01/11/2013,1805.81
01/10/2013,1756.54
03/09/2013,1681.55
01/08/2013,1632.97
01/07/2013,1685.73
03/06/2013,1606.28
01/05/2013,1630.74
01/04/2013,1597.57
01/03/2013,1569.19
01/02/2013,1514.68
02/01/2013,1498.11
03/12/2012,1426.19
01/11/2012,1416.18
01/10/2012,1412.16
04/09/2012,1440.67
01/08/2012,1406.58
02/07/2012,1379.32
01/06/2012,1362.16
01/05/2012,1310.33
02/04/2012,1397.91
01/03/2012,1408.47
01/02/2012,1365.68
03/01/2012,1312.41
01/12/2011,1257.6
01/11/2011,1246.96
03/10/2011,1253.3
01/09/2011,1131.42
01/08/2011,1218.89
01/07/2011,1292.28
01/06/2011,1320.64
02/05/2011,1345.2
01/04/2011,1363.61
01/03/2011,1325.83
01/02/2011,1327.22
03/01/2011,1286.12
01/12/2010,1257.64
01/11/2010,1180.55
01/10/2010,1183.26
01/09/2010,1141.2
02/08/2010,1049.33
01/07/2010,1101.6
01/06/2010,1030.71
03/05/2010,1089.41
01/04/2010,1186.69
01/03/2010,1169.43
01/02/2010,1104.49
04/01/2010,1073.87
01/12/2009,1115.1
02/11/2009,1095.63
01/10/2009,1036.19
01/09/2009,1057.08
03/08/2009,1020.62
01/07/2009,987.48
01/06/2009,919.32
01/05/2009,919.14
01/04/2009,872.81
02/03/2009,797.87
02/02/2009,735.09
02/01/2009,825.88
01/12/2008,903.25
03/11/2008,896.24
01/10/2008,968.75
02/09/2008,1166.36
01/08/2008,1282.83
01/07/2008,1267.38
02/06/2008,1280
01/05/2008,1400.38
01/04/2008,1385.59
03/03/2008,1322.7
01/02/2008,1330.63
02/01/2008,1378.55
03/12/2007,1468.36
01/11/2007,1481.14
01/10/2007,1549.38
04/09/2007,1526.75
01/08/2007,1473.99
02/07/2007,1455.27
01/06/2007,1503.35
01/05/2007,1530.62
02/04/2007,1482.37
01/03/2007,1420.86
01/02/2007,1406.82
03/01/2007,1438.24
01/12/2006,1418.3
01/11/2006,1400.63
02/10/2006,1377.94
01/09/2006,1335.85
01/08/2006,1303.82
03/07/2006,1276.66
01/06/2006,1270.2
01/05/2006,1270.09
03/04/2006,1310.61
01/03/2006,1294.87
01/02/2006,1280.66
03/01/2006,1280.08
01/12/2005,1248.29
01/11/2005,1249.48
03/10/2005,1207.01
01/09/2005,1228.81
01/08/2005,1220.33
01/07/2005,1234.18
01/06/2005,1191.33
02/05/2005,1191.5
01/04/2005,1156.85
01/03/2005,1180.59
01/02/2005,1203.6
03/01/2005,1181.27
01/12/2004,1211.92
01/11/2004,1173.82
01/10/2004,1130.2
01/09/2004,1114.58
02/08/2004,1104.24
01/07/2004,1101.72
01/06/2004,1140.84
03/05/2004,1120.68
01/04/2004,1107.3
01/03/2004,1126.21
02/02/2004,1144.94
02/01/2004,1131.13
01/12/2003,1111.92
03/11/2003,1058.2
01/10/2003,1050.71
02/09/2003,995.97
01/08/2003,1008.01
01/07/2003,990.31
02/06/2003,974.5
01/05/2003,963.59
01/04/2003,916.92
03/03/2003,848.18
03/02/2003,841.15
02/01/2003,855.7
02/12/2002,879.82
01/11/2002,936.31
01/10/2002,885.76
03/09/2002,815.28
01/08/2002,916.07
01/07/2002,911.62
03/06/2002,989.82
01/05/2002,1067.14
01/04/2002,1076.92
01/03/2002,1147.39
01/02/2002,1106.73
02/01/2002,1130.2
03/12/2001,1148.08
01/11/2001,1139.45
01/10/2001,1059.78
04/09/2001,1040.94
01/08/2001,1133.58
02/07/2001,1211.23
01/06/2001,1224.38
01/05/2001,1255.82
02/04/2001,1249.46
01/03/2001,1160.33
01/02/2001,1239.94
02/01/2001,1366.01
01/12/2000,1320.28
01/11/2000,1314.95
02/10/2000,1429.4
01/09/2000,1436.51
01/08/2000,1517.68
03/07/2000,1430.83
01/06/2000,1454.6
01/05/2000,1420.6
03/04/2000,1452.43
01/03/2000,1498.58
01/02/2000,1366.42
03/01/2000,1394.46
